order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
3773745777,97135,2024-05-02 14:58:00,2024-05-02 14:58:00,0,3.31,On Time,
9251939156,57095,2023-12-30 12:51:00,2023-12-30 12:58:00,7,2.35,Slightly Delayed,Traffic
3872982303,60234,2024-02-03 01:24:00,2024-02-03 01:25:00,1,2.6,On Time,Traffic
2625987757,51273,2023-08-01 07:54:00,2023-08-01 07:56:00,2,4.7,On Time,Traffic
3162249401,47552,2024-05-03 13:31:00,2024-05-03 13:31:00,0,1.72,On Time,
3108986741,60867,2023-10-17 19:43:00,2023-10-17 19:44:00,1,2.09,On Time,Traffic
1851474741,12879,2023-11-01 13:42:00,2023-11-01 13:51:00,9,4.09,Slightly Delayed,Traffic
2425099132,44245,2023-08-15 01:30:00,2023-08-15 01:34:00,4,1.07,On Time,Traffic
6706793332,76503,2024-10-09 22:04:00,2024-10-09 22:16:00,12,2.99,Slightly Delayed,Traffic
2149289255,25251,2024-11-01 15:20:00,2024-11-01 15:39:00,19,2.56,Significantly Delayed,Traffic
1971008155,30330,2023-10-23 22:43:00,2023-10-23 22:39:00,-4,0.86,On Time,
2087093460,27478,2024-07-11 11:42:00,2024-07-11 11:41:00,-1,0.77,On Time,
2116712588,34078,2023-11-11 20:48:00,2023-11-11 20:51:00,3,4.26,On Time,Traffic
6054358790,52564,2024-01-26 10:31:00,2024-01-26 10:26:00,-5,3.96,On Time,
532660797,97547,2024-05-20 06:37:00,2024-05-20 06:51:00,14,4.9,Slightly Delayed,Traffic
1491991005,85285,2024-03-04 09:01:00,2024-03-04 09:01:00,0,0.89,On Time,
4136019599,34667,2024-03-23 18:52:00,2024-03-23 18:55:00,3,4.58,On Time,Traffic
2122832513,39396,2024-02-17 19:58:00,2024-02-17 20:18:00,20,3.97,Significantly Delayed,Traffic
3717703595,8041,2023-04-24 21:52:00,2023-04-24 21:51:00,-1,2.48,On Time,
3194733693,16623,2023-07-05 10:30:00,2023-07-05 10:37:00,7,1.74,Slightly Delayed,Traffic
4471162437,54708,2024-02-06 12:52:00,2024-02-06 12:52:00,0,3.78,On Time,
1609331948,58721,2024-01-04 14:19:00,2024-01-04 14:19:00,0,1.56,On Time,
6920030794,38745,2024-06-24 02:51:00,2024-06-24 02:49:00,-2,3.47,On Time,
5127172657,80034,2024-06-11 18:30:00,2024-06-11 18:50:00,20,4.41,Significantly Delayed,Traffic
8607115856,85718,2023-10-09 04:52:00,2023-10-09 04:49:00,-3,2.33,On Time,
7154957395,63099,2023-04-09 10:21:00,2023-04-09 10:21:00,0,2.28,On Time,
2070762702,64950,2023-10-04 10:37:00,2023-10-04 10:52:00,15,3.61,Slightly Delayed,Traffic
3697242439,67408,2024-10-15 12:47:00,2024-10-15 12:46:00,-1,4.71,On Time,
3063427913,24100,2023-09-21 02:34:00,2023-09-21 02:37:00,3,4.76,On Time,Traffic
2060061337,50748,2023-04-15 23:10:00,2023-04-15 23:22:00,12,3.08,Slightly Delayed,Traffic
4625892678,40337,2023-06-18 19:35:00,2023-06-18 19:39:00,4,2.74,On Time,Traffic
6045698170,16848,2024-01-24 17:14:00,2024-01-24 17:19:00,5,3.86,On Time,Traffic
7876289647,28786,2024-08-07 08:06:00,2024-08-07 08:18:00,12,2.54,Slightly Delayed,Traffic
3434084714,58201,2024-02-02 03:06:00,2024-02-02 03:04:00,-2,3.51,On Time,
9031695663,43200,2024-01-17 01:35:00,2024-01-17 01:41:00,6,3.71,Slightly Delayed,Traffic
1955989715,8135,2023-12-27 07:06:00,2023-12-27 07:08:00,2,4.81,On Time,Traffic
3459500455,20504,2023-12-18 00:52:00,2023-12-18 00:54:00,2,2.66,On Time,Traffic
5953376503,34929,2024-05-25 04:08:00,2024-05-25 04:24:00,16,0.56,Significantly Delayed,Traffic
121874867,69733,2023-03-28 01:10:00,2023-03-28 01:05:00,-5,3.08,On Time,
2460545397,50527,2024-10-27 11:38:00,2024-10-27 11:49:00,11,2.53,Slightly Delayed,Traffic
9690050839,76868,2024-01-13 02:44:00,2024-01-13 02:49:00,5,3.82,On Time,Traffic
2574349065,406,2024-04-17 14:43:00,2024-04-17 14:44:00,1,1.72,On Time,Traffic
2461936988,77590,2023-07-20 23:29:00,2023-07-20 23:48:00,19,4.4,Significantly Delayed,Traffic
6447596416,45656,2023-10-08 18:30:00,2023-10-08 18:26:00,-4,4.27,On Time,
7228452275,96211,2023-05-13 01:25:00,2023-05-13 01:25:00,0,4.62,On Time,
6696750742,89976,2023-04-02 17:54:00,2023-04-02 17:54:00,0,4.39,On Time,
822235931,1773,2023-08-09 07:27:00,2023-08-09 07:42:00,15,1.42,Slightly Delayed,Traffic
7678251499,60822,2023-04-23 13:37:00,2023-04-23 13:42:00,5,1.85,On Time,Traffic
2497341976,42711,2023-09-21 09:19:00,2023-09-21 09:20:00,1,1.33,On Time,Traffic
9107314128,21125,2024-05-20 16:37:00,2024-05-20 16:36:00,-1,2.2,On Time,
9855726256,59743,2023-05-17 08:05:00,2023-05-17 08:03:00,-2,0.96,On Time,
9398719862,4852,2024-07-19 09:40:00,2024-07-19 09:44:00,4,0.85,On Time,Traffic
379494532,99227,2024-07-07 13:42:00,2024-07-07 13:44:00,2,3.39,On Time,Traffic
1048784963,35552,2023-09-07 13:35:00,2023-09-07 13:30:00,-5,2.18,On Time,
4386246924,56384,2024-08-27 10:26:00,2024-08-27 10:52:00,26,3.44,Significantly Delayed,Traffic
2050362692,16076,2024-10-30 11:36:00,2024-10-30 11:39:00,3,3.48,On Time,Traffic
4142963293,74308,2024-11-03 04:04:00,2024-11-03 04:07:00,3,1.26,On Time,Traffic
9753528654,63454,2024-07-26 07:35:00,2024-07-26 07:33:00,-2,1.84,On Time,
8126970833,83636,2024-09-14 20:41:00,2024-09-14 21:07:00,26,1.13,Significantly Delayed,Traffic
9747814712,33342,2023-12-16 15:52:00,2023-12-16 15:55:00,3,1.23,On Time,Traffic
6281619403,12086,2023-04-09 19:15:00,2023-04-09 19:10:00,-5,4.51,On Time,
436184281,59936,2023-11-20 12:55:00,2023-11-20 13:22:00,27,0.74,Significantly Delayed,Traffic
9799231260,58378,2024-03-07 09:17:00,2024-03-07 09:21:00,4,0.9,On Time,Traffic
4071811527,27993,2023-07-26 15:51:00,2023-07-26 16:00:00,9,2.39,Slightly Delayed,Traffic
5645359563,45180,2024-08-08 23:45:00,2024-08-08 23:40:00,-5,4.78,On Time,
9411813703,32773,2023-09-25 23:11:00,2023-09-25 23:16:00,5,0.65,On Time,Traffic
4270217473,4904,2024-02-01 09:02:00,2024-02-01 09:02:00,0,1.23,On Time,
279851011,73623,2023-04-11 09:58:00,2023-04-11 09:57:00,-1,4.34,On Time,
6260524887,22883,2024-06-01 07:00:00,2024-06-01 06:56:00,-4,3.76,On Time,
5853998391,23606,2023-09-08 02:58:00,2023-09-08 02:55:00,-3,4.67,On Time,
9931976872,97297,2024-06-24 05:32:00,2024-06-24 05:28:00,-4,3.03,On Time,
8432209832,18907,2024-03-20 03:42:00,2024-03-20 03:54:00,12,4.17,Slightly Delayed,Traffic
6023721507,72197,2024-04-07 00:36:00,2024-04-07 00:35:00,-1,2.05,On Time,
3042338919,70995,2023-05-17 15:05:00,2023-05-17 15:02:00,-3,1.33,On Time,
233646065,56968,2023-09-19 22:43:00,2023-09-19 22:48:00,5,4.89,On Time,Traffic
9870610018,44706,2024-02-08 05:36:00,2024-02-08 05:35:00,-1,0.86,On Time,
1398230967,92744,2024-04-22 10:13:00,2024-04-22 10:09:00,-4,4.81,On Time,
8615488922,1328,2023-11-04 00:21:00,2023-11-04 00:42:00,21,3.94,Significantly Delayed,Traffic
2748841057,11008,2023-12-30 05:19:00,2023-12-30 05:43:00,24,0.84,Significantly Delayed,Traffic
1375867721,21511,2024-07-15 17:08:00,2024-07-15 17:05:00,-3,4.45,On Time,
8595141097,19332,2024-03-31 10:36:00,2024-03-31 10:39:00,3,4.33,On Time,Traffic
4673382071,97477,2024-01-16 13:40:00,2024-01-16 13:49:00,9,4.9,Slightly Delayed,Traffic
2948696008,89164,2024-04-10 10:22:00,2024-04-10 10:19:00,-3,2.28,On Time,
6839692624,44627,2023-11-19 02:10:00,2023-11-19 02:35:00,25,1.17,Significantly Delayed,Traffic
5770951298,4946,2023-10-02 18:23:00,2023-10-02 18:21:00,-2,0.95,On Time,
5084771819,66403,2024-08-29 22:05:00,2024-08-29 22:18:00,13,1.37,Slightly Delayed,Traffic
422403644,23782,2023-05-27 23:46:00,2023-05-27 23:54:00,8,0.56,Slightly Delayed,Traffic
7176758896,75492,2023-07-13 13:00:00,2023-07-13 13:01:00,1,2.94,On Time,Traffic
8252905093,40596,2024-04-21 23:29:00,2024-04-21 23:30:00,1,3.25,On Time,Traffic
1488561572,31495,2024-08-27 08:32:00,2024-08-27 08:31:00,-1,2.51,On Time,
6212984517,15665,2024-03-16 22:05:00,2024-03-16 22:03:00,-2,1.27,On Time,
6309784337,23009,2024-05-06 17:53:00,2024-05-06 17:53:00,0,4.05,On Time,
4613890018,82638,2023-10-24 13:00:00,2023-10-24 13:00:00,0,3.82,On Time,
3429728472,77476,2023-03-31 08:48:00,2023-03-31 08:57:00,9,1.25,Slightly Delayed,Traffic
267738904,73022,2023-10-24 23:24:00,2023-10-24 23:38:00,14,4.28,Slightly Delayed,Traffic
3850416839,32659,2024-07-01 02:23:00,2024-07-01 02:36:00,13,1.32,Slightly Delayed,Traffic
3412702479,35140,2023-12-24 07:46:00,2023-12-24 07:51:00,5,1.11,On Time,Traffic
2016183232,38755,2023-07-19 04:35:00,2023-07-19 04:46:00,11,1.63,Slightly Delayed,Traffic
3810280204,70290,2023-10-26 18:06:00,2023-10-26 18:10:00,4,0.75,On Time,Traffic
2416767295,28144,2024-07-05 03:50:00,2024-07-05 03:59:00,9,1.13,Slightly Delayed,Traffic
2283439407,58922,2023-07-14 02:28:00,2023-07-14 02:32:00,4,0.57,On Time,Traffic
4328802292,66985,2023-06-14 19:57:00,2023-06-14 20:15:00,18,3.65,Significantly Delayed,Traffic
7072715691,82046,2023-12-25 19:28:00,2023-12-25 19:29:00,1,3.65,On Time,Traffic
5640741373,20090,2024-05-10 06:57:00,2024-05-10 06:57:00,0,4.34,On Time,
6931094066,66225,2023-11-15 22:18:00,2023-11-15 22:14:00,-4,3.82,On Time,
3417088709,63738,2024-05-30 17:37:00,2024-05-30 17:58:00,21,1.29,Significantly Delayed,Traffic
4424404315,8506,2023-07-16 07:36:00,2023-07-16 07:40:00,4,2.43,On Time,Traffic
2444087306,75692,2023-07-28 08:35:00,2023-07-28 08:37:00,2,4.67,On Time,Traffic
486085268,90390,2023-12-11 19:51:00,2023-12-11 19:56:00,5,0.53,On Time,Traffic
1731312620,75316,2023-05-08 20:42:00,2023-05-08 20:41:00,-1,2.13,On Time,
6475582506,52304,2023-09-23 05:01:00,2023-09-23 05:05:00,4,2.09,On Time,Traffic
1868581378,38861,2024-03-29 18:43:00,2024-03-29 18:47:00,4,3.94,On Time,Traffic
8884235937,81977,2024-08-09 12:01:00,2024-08-09 12:09:00,8,4.57,Slightly Delayed,Traffic
4590662628,18200,2024-01-10 12:02:00,2024-01-10 12:17:00,15,2.1,Slightly Delayed,Traffic
992302540,12863,2023-11-26 21:51:00,2023-11-26 21:54:00,3,3.48,On Time,Traffic
7169974633,69861,2024-10-16 16:22:00,2024-10-16 16:21:00,-1,2.57,On Time,
6703651257,4285,2024-01-17 01:43:00,2024-01-17 01:46:00,3,2.43,On Time,Traffic
7180810221,59848,2023-09-10 16:58:00,2023-09-10 17:07:00,9,0.51,Slightly Delayed,Traffic
7875587578,40025,2024-07-15 08:59:00,2024-07-15 09:09:00,10,3.53,Slightly Delayed,Traffic
2578671497,64618,2024-01-25 00:16:00,2024-01-25 00:21:00,5,0.79,On Time,Traffic
6284350691,9053,2024-06-20 01:13:00,2024-06-20 01:13:00,0,4.5,On Time,
5383261788,94840,2023-10-18 21:34:00,2023-10-18 21:30:00,-4,2.11,On Time,
6590867973,23582,2023-11-20 08:55:00,2023-11-20 08:54:00,-1,0.73,On Time,
8787105023,54795,2024-05-07 23:09:00,2024-05-07 23:12:00,3,3.68,On Time,Traffic
1402916311,57649,2024-04-23 13:05:00,2024-04-23 13:09:00,4,2.72,On Time,Traffic
9715205272,21783,2024-10-21 22:09:00,2024-10-21 22:11:00,2,4.93,On Time,Traffic
3946852375,92389,2024-07-04 12:45:00,2024-07-04 12:45:00,0,4.04,On Time,
3367039425,72408,2024-03-10 03:58:00,2024-03-10 04:00:00,2,1.38,On Time,Traffic
687711388,44884,2024-02-02 10:28:00,2024-02-02 10:40:00,12,1.67,Slightly Delayed,Traffic
647012431,94183,2024-06-16 13:27:00,2024-06-16 13:45:00,18,0.92,Significantly Delayed,Traffic
7143278295,89680,2024-02-13 15:39:00,2024-02-13 15:35:00,-4,1.65,On Time,
9736844695,87624,2024-04-09 20:18:00,2024-04-09 20:13:00,-5,1.4,On Time,
5933289680,1722,2023-12-07 04:49:00,2023-12-07 05:09:00,20,2.24,Significantly Delayed,Traffic
9494303116,12071,2024-07-21 11:04:00,2024-07-21 11:09:00,5,3.87,On Time,Traffic
9337878102,15234,2023-05-16 04:09:00,2023-05-16 04:05:00,-4,0.63,On Time,
6872621077,42244,2023-09-14 18:29:00,2023-09-14 18:24:00,-5,3.42,On Time,
7330237253,18688,2023-12-07 12:38:00,2023-12-07 12:37:00,-1,3.63,On Time,
7942616242,76694,2023-09-30 08:27:00,2023-09-30 08:52:00,25,4.96,Significantly Delayed,Traffic
238520071,91088,2024-02-20 05:44:00,2024-02-20 05:47:00,3,1.92,On Time,Traffic
5812379362,68969,2023-08-05 11:05:00,2023-08-05 11:01:00,-4,4.52,On Time,
2616623847,43649,2024-01-19 19:22:00,2024-01-19 19:37:00,15,4.33,Slightly Delayed,Traffic
2040854480,11814,2023-12-10 00:22:00,2023-12-10 00:47:00,25,2.48,Significantly Delayed,Traffic
5456484560,32681,2024-09-26 02:10:00,2024-09-26 02:35:00,25,3.76,Significantly Delayed,Traffic
883309006,23074,2024-04-09 08:22:00,2024-04-09 08:30:00,8,3.46,Slightly Delayed,Traffic
6528341992,50910,2024-01-29 03:43:00,2024-01-29 03:54:00,11,2.7,Slightly Delayed,Traffic
3263203775,38308,2024-09-28 15:37:00,2024-09-28 15:36:00,-1,3.36,On Time,
3660010934,17404,2024-01-31 15:44:00,2024-01-31 15:49:00,5,2.74,On Time,Traffic
7944885043,16741,2024-05-26 08:31:00,2024-05-26 08:29:00,-2,2.23,On Time,
2506369831,62473,2023-06-16 13:22:00,2023-06-16 13:35:00,13,4.07,Slightly Delayed,Traffic
697061213,80729,2023-03-25 09:52:00,2023-03-25 09:55:00,3,1.48,On Time,Traffic
7079057004,16501,2023-09-30 09:10:00,2023-09-30 09:32:00,22,3.58,Significantly Delayed,Traffic
1556153632,45137,2024-05-04 08:54:00,2024-05-04 09:03:00,9,0.75,Slightly Delayed,Traffic
2161235338,96206,2024-04-12 15:12:00,2024-04-12 15:21:00,9,4.68,Slightly Delayed,Traffic
1247978468,30662,2024-07-19 02:13:00,2024-07-19 02:12:00,-1,1.56,On Time,
5437627061,39894,2024-08-22 02:15:00,2024-08-22 02:16:00,1,4.76,On Time,Traffic
9091960039,51540,2024-02-11 10:04:00,2024-02-11 10:04:00,0,2.76,On Time,
619198317,83654,2023-11-20 17:16:00,2023-11-20 17:11:00,-5,4.77,On Time,
9833179291,97223,2023-05-04 18:52:00,2023-05-04 18:48:00,-4,0.59,On Time,
4148760273,55805,2024-05-22 01:55:00,2024-05-22 01:58:00,3,4.35,On Time,Traffic
7206041763,1128,2023-05-30 19:35:00,2023-05-30 19:37:00,2,2.69,On Time,Traffic
690097648,92460,2023-12-27 20:30:00,2023-12-27 20:40:00,10,1.87,Slightly Delayed,Traffic
4197061567,48139,2024-02-04 03:31:00,2024-02-04 03:33:00,2,0.66,On Time,Traffic
2009394836,71878,2023-10-24 22:25:00,2023-10-24 22:23:00,-2,3.18,On Time,
277502363,18055,2023-12-28 14:04:00,2023-12-28 14:09:00,5,4.14,On Time,Traffic
4356959622,94308,2024-01-16 07:56:00,2024-01-16 07:51:00,-5,3.45,On Time,
174306009,35598,2024-08-09 00:35:00,2024-08-09 01:02:00,27,1.41,Significantly Delayed,Traffic
9582674091,16055,2024-08-16 11:39:00,2024-08-16 12:01:00,22,3.55,Significantly Delayed,Traffic
8675579025,13158,2024-07-06 12:15:00,2024-07-06 12:17:00,2,3.41,On Time,Traffic
5195999941,12987,2024-07-19 19:07:00,2024-07-19 19:21:00,14,2.34,Slightly Delayed,Traffic
5210007923,94672,2024-10-01 05:24:00,2024-10-01 05:25:00,1,2.16,On Time,Traffic
6595771960,72175,2023-04-05 03:36:00,2023-04-05 03:40:00,4,1.75,On Time,Traffic
4247338382,85815,2023-12-05 02:11:00,2023-12-05 02:40:00,29,4.26,Significantly Delayed,Traffic
819143326,73801,2024-01-10 19:34:00,2024-01-10 19:39:00,5,4.37,On Time,Traffic
3830844750,95930,2023-08-06 16:07:00,2023-08-06 16:04:00,-3,4.35,On Time,
1687314172,86120,2024-03-13 19:00:00,2024-03-13 19:03:00,3,3.7,On Time,Traffic
6756007265,48609,2023-07-27 18:37:00,2023-07-27 18:42:00,5,4.05,On Time,Traffic
489762747,93825,2024-09-27 16:52:00,2024-09-27 17:18:00,26,3.26,Significantly Delayed,Traffic
7509195875,96839,2023-11-26 20:11:00,2023-11-26 20:14:00,3,4.89,On Time,Traffic
2370917070,13883,2023-07-25 06:11:00,2023-07-25 06:16:00,5,2.92,On Time,Traffic
2055388266,80608,2023-06-23 06:41:00,2023-06-23 06:49:00,8,1.43,Slightly Delayed,Traffic
8969304162,67811,2023-10-12 15:03:00,2023-10-12 15:02:00,-1,1.66,On Time,
5412674107,15617,2024-10-06 22:00:00,2024-10-06 22:02:00,2,1.75,On Time,Traffic
1536516619,44378,2023-11-25 08:10:00,2023-11-25 08:15:00,5,2.48,On Time,Traffic
3858907413,29907,2023-07-27 18:45:00,2023-07-27 18:45:00,0,4.53,On Time,
4976389251,89142,2023-09-05 10:13:00,2023-09-05 10:08:00,-5,1.42,On Time,
2218319201,957,2024-11-01 03:12:00,2024-11-01 03:11:00,-1,3.58,On Time,
6729422433,99898,2023-07-19 13:55:00,2023-07-19 14:01:00,6,2.81,Slightly Delayed,Traffic
1354097448,10089,2023-06-21 17:53:00,2023-06-21 17:55:00,2,1.71,On Time,Traffic
8952275304,95373,2024-08-31 08:22:00,2024-08-31 08:22:00,0,1.27,On Time,
436603801,64535,2023-12-28 10:14:00,2023-12-28 10:11:00,-3,3.24,On Time,
5273875984,60888,2023-05-31 03:45:00,2023-05-31 03:59:00,14,0.98,Slightly Delayed,Traffic
9290203003,44829,2024-04-01 12:31:00,2024-04-01 12:36:00,5,1.9,On Time,Traffic
6240982373,16774,2023-04-26 03:27:00,2023-04-26 03:24:00,-3,0.97,On Time,
2718348206,66580,2023-11-08 10:37:00,2023-11-08 10:33:00,-4,2.16,On Time,
4903544026,7486,2024-05-11 04:45:00,2024-05-11 04:50:00,5,4.24,On Time,Traffic
2827266949,24708,2024-09-17 08:10:00,2024-09-17 08:18:00,8,0.86,Slightly Delayed,Traffic
4278423074,23667,2023-12-17 05:02:00,2023-12-17 05:05:00,3,1.71,On Time,Traffic
645916247,98927,2023-10-10 03:03:00,2023-10-10 03:32:00,29,3.22,Significantly Delayed,Traffic
5816647866,84702,2024-09-26 05:23:00,2024-09-26 05:40:00,17,1.15,Significantly Delayed,Traffic
7282397914,26008,2024-07-14 01:35:00,2024-07-14 01:40:00,5,2.19,On Time,Traffic
3260611473,28392,2024-02-06 13:54:00,2024-02-06 14:12:00,18,2.73,Significantly Delayed,Traffic
8638163868,29019,2023-06-07 03:41:00,2023-06-07 03:46:00,5,1.66,On Time,Traffic
177850987,61247,2023-11-07 14:25:00,2023-11-07 14:22:00,-3,2.9,On Time,
9653859166,72058,2023-03-16 19:36:00,2023-03-16 19:50:00,14,0.95,Slightly Delayed,Traffic
9991338690,50037,2024-07-29 11:45:00,2024-07-29 11:46:00,1,2.15,On Time,Traffic
1714593246,11180,2024-10-20 10:02:00,2024-10-20 10:04:00,2,1.89,On Time,Traffic
9742461226,16877,2024-01-01 00:43:00,2024-01-01 00:40:00,-3,1.16,On Time,
3314393477,37197,2024-10-26 13:49:00,2024-10-26 13:52:00,3,4.51,On Time,Traffic
4188317986,48031,2023-03-20 01:56:00,2023-03-20 02:06:00,10,2.74,Slightly Delayed,Traffic
1646665366,59753,2024-07-26 19:01:00,2024-07-26 19:13:00,12,3.22,Slightly Delayed,Traffic
9558804585,32740,2024-03-15 12:09:00,2024-03-15 12:15:00,6,1.81,Slightly Delayed,Traffic
9047652469,27774,2024-08-05 03:28:00,2024-08-05 03:23:00,-5,3.21,On Time,
2893800377,54327,2024-03-22 11:57:00,2024-03-22 11:53:00,-4,4.56,On Time,
6139157985,23927,2024-02-03 13:51:00,2024-02-03 14:13:00,22,1.17,Significantly Delayed,Traffic
6029394789,28593,2023-04-30 06:23:00,2023-04-30 06:32:00,9,2.43,Slightly Delayed,Traffic
5874940276,22218,2024-04-11 06:45:00,2024-04-11 06:40:00,-5,1.62,On Time,
5205211911,38835,2024-09-27 18:52:00,2024-09-27 19:06:00,14,0.86,Slightly Delayed,Traffic
5314758068,68342,2024-02-03 00:36:00,2024-02-03 00:46:00,10,2.53,Slightly Delayed,Traffic
484869710,41598,2023-09-09 12:05:00,2023-09-09 12:08:00,3,4.8,On Time,Traffic
9957728938,64839,2024-08-05 21:43:00,2024-08-05 21:59:00,16,4.11,Significantly Delayed,Traffic
3136056666,60976,2024-04-29 03:40:00,2024-04-29 03:52:00,12,2.35,Slightly Delayed,Traffic
4926104391,13060,2023-10-24 08:02:00,2023-10-24 08:16:00,14,3.91,Slightly Delayed,Traffic
1827844756,78517,2023-04-07 11:43:00,2023-04-07 11:46:00,3,1.67,On Time,Traffic
7032037874,59618,2024-06-13 19:17:00,2024-06-13 19:17:00,0,2.75,On Time,
3779230503,52785,2023-07-11 05:30:00,2023-07-11 05:29:00,-1,2.32,On Time,
3473012553,99684,2024-02-16 21:48:00,2024-02-16 22:14:00,26,3.48,Significantly Delayed,Traffic
7988504487,86506,2024-05-14 11:42:00,2024-05-14 11:41:00,-1,1.73,On Time,
7193792738,91241,2024-06-05 15:49:00,2024-06-05 15:53:00,4,2.36,On Time,Traffic
